path	old_repo	new_repo	status	message
sovell/third_custom/941hospital	sovell-third_custom-941hospital	941hospital	ok	renamed
sovell/third_custom/942hospital	sovell-third_custom-942hospital	942hospital	ok	renamed
sovell/third_custom/988hospital	sovell-third_custom-988hospital	988hospital	ok	renamed
sovell/atlantis/ai-5.0	sovell-atlantis-ai-5.0	ai-5.0	ok	renamed
sovell/ai-go/aigo-cateen	sovell-ai-go-aigo-cateen	aigo-cateen	ok	renamed
sovell/Android/5.0/android_web/android_tv_h5	sovell-Android-5.0-android_web-android_tv_h5	android_tv_h5	ok	renamed
sovell/idish3.0/api	sovell-idish3.0-api	api	ok	renamed
sovell/idish3.0/api_addons	sovell-idish3.0-api_addons	api_addons	ok	renamed
sovell/idish3.0/api_plugins	sovell-idish3.0-api_plugins	api_plugins	ok	renamed
sovell/Android/5.0/tools-demo/arcsfot_translate	sovell-Android-5.0-tools-demo-arcsfot_translate	arcsfot_translate	ok	renamed
sovell/ai-go/atlantis	sovell-ai-go-atlantis	atlantis	ok	renamed
sovell/third_custom/audi	sovell-third_custom-audi	audi	ok	renamed
sovell/brightmoon/brightmoon	sovell-brightmoon-brightmoon	brightmoon	ok	renamed
sovell/ai-go/caigou	sovell-ai-go-caigou	caigou	ok	renamed
sovell/Android/5.0/call	sovell-Android-5.0-call	call	ok	renamed
sovell/ai-go/canteen-shop-miniprogram	sovell-ai-go-canteen-shop-miniprogram	ai-go-canteen-shop-miniprogram	ok	renamed
sovell/sovell-restaurant/canteen-shop-miniprogram	sovell-sovell-restaurant-canteen-shop-miniprogram	sovell-restaurant-canteen-shop-miniprogram	ok	renamed
sovell/sovell-restaurant/canteen-shop-webview	sovell-sovell-restaurant-canteen-shop-webview	sovell-restaurant-canteen-shop-webview	ok	renamed
sovell/ai-go/canteen-shop-webview	sovell-ai-go-canteen-shop-webview	ai-go-canteen-shop-webview	ok	renamed
sovell/ai-go/card	sovell-ai-go-card	card	ok	renamed
sovell/Android/5.0/cash-desk	sovell-Android-5.0-cash-desk	cash-desk	ok	renamed
sovell/Android/5.0/cash-mobile-pos	sovell-Android-5.0-cash-mobile-pos	cash-mobile-pos	ok	renamed
sovell/third_custom/changpinglaboratory	sovell-third_custom-changpinglaboratory	changpinglaboratory	ok	renamed
sovell/ai-go/client-gateway	sovell-ai-go-client-gateway	client-gateway	ok	renamed
sovell/Android/5.0/android_web/cloud-recipe	sovell-Android-5.0-android_web-cloud-recipe	cloud-recipe	ok	renamed
sovell/Codeup-Demo	sovell-Codeup-Demo	Codeup-Demo	ok	renamed
sovell/third_custom/coli688	sovell-third_custom-coli688	coli688	ok	renamed
sovell/Android/5.0/store/com.sovell.store.face_guard	sovell-Android-5.0-store-com.sovell.store.face_guard	com.sovell.store.face_guard	ok	renamed
sovell/Android/5.0/consume-machine-duplex	sovell-Android-5.0-consume-machine-duplex	consume-machine-duplex	ok	renamed
sovell/brightmoon/CreateActionBizDao	sovell-brightmoon-CreateActionBizDao	CreateActionBizDao	ok	renamed
sovell/idish3.0/customization	sovell-idish3.0-customization	customization	ok	renamed
sovell/document/database-key-value	sovell-document-database-key-value	database-key-value	ok	renamed
sovell/data-room/dataroom	sovell-data-room-dataroom	dataroom	ok	renamed
sovell/ai-go/device-gateway	sovell-ai-go-device-gateway	device-gateway	ok	renamed
sovell/ai-go/dining	sovell-ai-go-dining	dining	ok	renamed
sovell/Android/5.0/dish-stock-screen	sovell-Android-5.0-dish-stock-screen	dish-stock-screen	ok	renamed
sovell/ai-go/docking	sovell-ai-go-docking	docking	ok	renamed
